**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
mai 01 18:32:57 *	elliptic est parti ("Bye")
mai 01 18:35:33 *	elliptic (n=greg@ALille-251-1-24-190.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
mai 01 18:35:39 *	Bertrand- (n=bertrand@i03m-87-89-118-251.d4.club-internet.fr) a rejoint #debian-fr
mai 01 18:46:18 *	rgaidot (n=rgaidot@LSt-Amand-152-32-42-153.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
mai 01 18:50:14 *	kartooon est parti (Read error: 113 (No route to host))
mai 01 18:54:39 *	Zword (n=Zword@bos94-3-82-226-234-106.fbx.proxad.net) a rejoint #debian-fr
mai 01 18:59:51 *	Shisui est parti ("Quitte")
mai 01 19:10:13 *	hellwolf est parti ("Leaving")
mai 01 19:11:39 *	man-x69 (n=azerty@d83-179-197-250.cust.tele2.fr) a rejoint #debian-fr
mai 01 19:14:12 *	Saelynh est parti ("http://saelynh.hautetfort.com/")
mai 01 19:15:44 *	Leo18 (n=Leo18@tru75-4-82-227-169-121.fbx.proxad.net) a rejoint #debian-fr
mai 01 19:15:45 <Leo18>	Salut à tous, j'ai un petit soucis : j'essaye desespérement de trouver un bon tutorial sur la façon d'exploiter des requêtes SQL dans un script bash. Quelqun à une idée ?
mai 01 19:16:01 <kolter>	hu
mai 01 19:16:50 <kolter>	fais le en perl / python / ruby, ce que tu veux mais pas *sh , c'est pas fait vraiment fait pour
mai 01 19:16:56 <Leo18>	récupérer des donnnées dans une table et créer une boucle pour les exploiter.
mai 01 19:17:03 <Leo18>	je ne sais absolument pas programmer en perl
mai 01 19:17:09 <ptitlouis>	ben apprends
mai 01 19:17:40 <Leo18>	pas bête ...
mai 01 19:20:59 <Gniarf>	ça y est, c'est appris ?
mai 01 19:21:34 <Leo18>	lol
mai 01 19:21:41 <Leo18>	je préférerais trouver une solution en bash
mai 01 19:21:54 <Gniarf>	et comment ?
mai 01 19:22:21 <Leo18>	bah je suppose que executer une requête sql select et faire une boucle pour traiter les données ca doit être faisable non ?
mai 01 19:22:37 <Gniarf>	mysqlclient < commandes > resultats ?
mai 01 19:22:44 <Gniarf>	et ensuite tripoter resultats ?
mai 01 19:22:48 <Leo18>	ouais
mai 01 19:22:49 <Gniarf>	tu vas te faire du mal
mai 01 19:28:07 *	Greg est parti ("Parti")
mai 01 19:38:33 *	Subdino (n=vincent@196.207.228.222) a rejoint #debian-fr
mai 01 19:47:42 *	Subdino est parti ("leaving")
mai 01 20:01:17 *	alexscott est parti ("Leaving")
mai 01 20:09:33 *	ylrahc est parti (Remote closed the connection)
mai 01 20:26:36 *	elliptic est parti ("Bye")
mai 01 20:37:13 *	Zword s'appelle maintenant Zword_AFK
mai 01 20:51:26 *	elliptic (n=greg@ALille-251-1-21-108.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
mai 01 20:59:18 *	weggpod est parti ("Ex-Chat")
mai 01 21:02:08 *	ylrahc (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
mai 01 21:04:17 *	emor3j (n=emor3j@APoitiers-153-1-11-30.w83-193.abo.wanadoo.fr) a rejoint #debian-fr
mai 01 21:04:27 <emor3j>	Salut
mai 01 21:13:03 *	carot0 (n=p-g@sch42-1-88-166-43-11.fbx.proxad.net) a rejoint #debian-fr
mai 01 21:23:52 *	rumpl (n=rumpl@m87.net81-66-199.noos.fr) a rejoint #debian-fr
mai 01 21:25:34 *	rumpl (n=rumpl@m87.net81-66-199.noos.fr) a quitté #debian-fr ("liv")
mai 01 21:35:37 *	carot0 est parti (Remote closed the connection)
mai 01 21:35:59 *	jnjb (n=nico@dyn-83-157-37-191.ppp.tiscali.fr) a rejoint #debian-fr
mai 01 21:37:14 *	Nanthrax est parti ("WeeChat 0.1.8")
mai 01 21:58:25 *	[lambda] est parti (Remote closed the connection)
mai 01 22:04:19 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
mai 01 22:05:02 *	jnjb est parti ("WeeChat 0.2.3")
mai 01 22:05:09 *	keikoz (n=keikoz@pha75-12-82-245-84-46.fbx.proxad.net) a rejoint #debian-fr
mai 01 22:05:27 <keikoz>	bonsoir
mai 01 22:07:46 *	jnjb (n=nico@dyn-83-157-37-191.ppp.tiscali.fr) a rejoint #debian-fr
mai 01 22:08:33 *	ale666 (n=spaceout@lgb-static-66.18.140.104.mpowercom.net) a rejoint #debian-fr
mai 01 22:29:04 *	ylrahc est parti (Read error: 110 (Connection timed out))
mai 01 22:46:43 *	ylrahc (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
mai 01 22:51:24 *	Leo18 est parti (Read error: 113 (No route to host))
mai 01 23:02:26 <mickey08>	hop
mai 01 23:02:40 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
mai 01 23:03:49 *	emor3j est parti (Read error: 104 (Connection reset by peer))
mai 01 23:03:58 *	ylrahc est parti (Remote closed the connection)
mai 01 23:05:12 *	iip2 (n=iip2@bugness.org) a rejoint #debian-fr
mai 01 23:15:14 *	_florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
mai 01 23:15:31 *	florent est parti (Read error: 104 (Connection reset by peer))
mai 01 23:24:42 *	ale666 est parti (No route to host)
mai 01 23:45:40 *	_florent s'appelle maintenant florent
mai 01 23:46:32 *	jnjb est parti ("WeeChat 0.2.3")
**** FIN DU JOURNAL À Wed May  2 00:00:02 2007

**** DÉBUT DU JOURNAL À Thu May  3 20:51:11 2007

mai 03 20:51:11 *	Vous parlez maintenant sur #debian-fr
mai 03 20:51:11 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
mai 03 20:51:11 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
mai 03 20:52:29 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 20:52:55 *	crochat__ (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
mai 03 20:57:27 *	jnjb est parti ("WeeChat 0.2.5-cvs")
mai 03 21:02:13 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 21:02:43 *	crochat__ (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
mai 03 21:07:25 *	DHX- (n=DHX@64.235.205.77) a rejoint #debian-fr
mai 03 21:14:43 *	EtAlors est parti ("Sauve tes fesses, ta tete suivra !")
mai 03 21:14:48 *	DHX est parti (No route to host)
mai 03 21:23:24 *	Superna est parti ("et kat")
mai 03 21:32:53 *	Zanton est parti ("Leaving")
mai 03 21:38:51 *	realniko (n=realniko@dyn-91-163-47-193.ppp.tiscali.fr) a rejoint #debian-fr
mai 03 21:41:54 *	exd est parti (Remote closed the connection)
mai 03 21:45:16 *	[lambda] est parti (Remote closed the connection)
mai 03 21:46:17 *	[lambda] (i=seb@84.4.63.81) a rejoint #debian-fr
mai 03 22:05:14 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 22:05:42 *	crochat__ (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
mai 03 22:08:44 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 22:09:12 *	crochat__ (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
mai 03 22:09:18 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 22:09:32 *	crochat__ (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
mai 03 22:10:10 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
mai 03 22:10:26 <TrueDD>	Salut à tous
mai 03 22:23:33 *	curty (n=curty@yer91-2-82-227-42-54.fbx.proxad.net) a rejoint #debian-fr
mai 03 22:23:35 *	UnMus est parti ("Connexion reset by beer")
mai 03 22:24:48 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 22:25:02 *	crochat__ (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
mai 03 22:28:19 *	ylrahc est parti (Remote closed the connection)
mai 03 22:31:07 *	virtuoso (n=s0t0na@80.253.205.251) a rejoint #debian-fr
mai 03 22:35:24 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - Un message qu'on pense pas à vérifier souvent ...")
mai 03 22:50:00 *	[NikO] (n=niko@niko.codepot.org) a rejoint #debian-fr
mai 03 22:50:00 *	ale666 (n=spaceout@adsl-75-4-25-13.dsl.irvnca.sbcglobal.net) a rejoint #debian-fr
mai 03 22:50:57 *	crochat__ est parti (Read error: 104 (Connection reset by peer))
mai 03 22:51:53 *	crochat (n=crochat@84-74-150-141.dclient.hispeed.ch) a rejoint #debian-fr
**** FIN DU JOURNAL À Thu May  3 22:52:24 2007

**** DÉBUT DU JOURNAL À Tue May  8 14:56:32 2007

mai 08 14:56:32 *	Vous parlez maintenant sur #debian-fr
mai 08 14:56:32 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
mai 08 14:56:32 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
mai 08 15:00:06 *	sambaa (n=Whoppix2@per80-1-88-172-236-138.fbx.proxad.net) a rejoint #debian-fr
mai 08 15:02:52 *	Zarock (n=zarock@62.147.163.49) a rejoint #debian-fr
mai 08 15:03:04 *	JuLiiieN (n=Jul@AVelizy-152-1-14-168.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 15:03:38 *	anrke (n=anrke@lag33-1-88-167-253-98.fbx.proxad.net) a rejoint #debian-fr
mai 08 15:04:12 *	anrke (n=anrke@lag33-1-88-167-253-98.fbx.proxad.net) a quitté #debian-fr ("Quitte")
mai 08 15:04:51 *	mirak (n=mirak@ip-155.net-81-220-111.rev.numericable.fr) a rejoint #debian-fr
mai 08 15:07:28 <TrueDD>	pcbureau, tu as un livecd ?
mai 08 15:10:31 *	Saelynh est parti ("http://saelynh.hautetfort.com/")
mai 08 15:23:30 <pcbureau>	TrueDD, non
mai 08 15:23:39 <pcbureau>	ms je vais deplacer nvidiafb puis c tt
mai 08 15:23:43 <pcbureau>	ca me parait le plus simple
mai 08 15:24:55 <mirak>	lu
mai 08 15:24:58 <mirak>	qqun connait auto-apt ?
mai 08 15:25:34 *	neo_phryte (n=chevalie@225.41-64-87.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 08 15:25:56 *	Necrite (i=Aimelavi@ARennes-356-1-102-50.w86-220.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 15:26:13 *	hellwolf (n=hellwolf@121.229.8.192) a rejoint #debian-fr
mai 08 15:29:31 *	Pinkilla_ (n=Pinkilla@97.130-247-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 08 15:30:04 *	sambaa s'appelle maintenant sambaa`afk
mai 08 15:34:04 *	pcbureau est parti ("Quitte")
mai 08 15:43:01 *	silensius est parti (Read error: 54 (Connection reset by peer))
mai 08 15:45:10 *	Pinkilla est parti (Read error: 110 (Connection timed out))
mai 08 15:51:53 *	berzerking (n=berzerki@tro83-2-82-244-122-66.fbx.proxad.net) a rejoint #debian-fr
mai 08 15:55:42 <berzerking>	salut a tous
mai 08 15:56:44 <berzerking>	bon j'ai bien regardé sur le net a droite a gauche et vraiment depuis plus de 8 heure de recherche concernant mon probleme ... j'ai pas trouvé grand chose a par un petit element de reponse que j aimerai qu on m explique si vous en avez le temps ... :
mai 08 15:57:28 <berzerking>	j'ai une carte 3CXFE575CT 3 com Pcmcia qui esyt reconnu comme une carte 3CCFE575CT mais du coup le drivers qui se charge n'est pas le bon et ma carte ne fonctionne pas ...
mai 08 15:57:46 <berzerking>	si quelqu un pourrais m aider ... voila ce que j ai pu trouver sur le net :
mai 08 15:57:49 <berzerking>	http://tuxmobil.org/pcmcia_ci10010.html
mai 08 15:58:48 <berzerking>	ps je suis sous debian etch
mai 08 15:59:00 <berzerking>	help ... :(
mai 08 16:03:10 *	ylrahc (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
mai 08 16:04:07 *	sambaa`afk est parti ("Leaving")
mai 08 16:04:43 <manx86>	berzerking: essaye lsmod, rmmod et modprobe
mai 08 16:05:16 <manx86>	lsmod pour lister les modules, rmmod pour les virer et modprobe pour les charger
mai 08 16:05:27 *	Nanthrax est parti ("WeeChat 0.2.4")
mai 08 16:09:25 *	Nanthrax (n=jb@lns-bzn-54-82-251-104-175.adsl.proxad.net) a rejoint #debian-fr
mai 08 16:11:27 <berzerking>	je ne vois pas trop ce qu il faut faire avec rmmod ... et comment dire  a ma debian que c est une carte 3CXFE575CT et pas une 3CCFE575CT
mai 08 16:14:08 <manx86>	bah vire le module de la 3CCFE575CT et charge le module de la 3CXFE575CT
mai 08 16:24:44 *	jnjb (n=nico@ALyon-156-1-135-178.w90-14.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 16:25:11 *	berzerking est parti (Remote closed the connection)
mai 08 16:25:42 *	jnjb est parti (Client Quit)
mai 08 16:26:46 <keulin>	tiens, une mise a jour de la libc6
mai 08 16:27:28 <ptitlouis>	naaaaaaaaannnnn
mai 08 16:28:12 <keulin>	non ?
mai 08 16:28:35 *	elliptic (n=greg@ALille-251-1-26-23.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 16:31:48 <Madvax>	pas en etch en tout cas
mai 08 16:33:36 <ptitlouis>	en meme temps on en a rien a foutre
mai 08 16:34:20 <Madvax>	ben ça dépend
mai 08 16:34:28 <ptitlouis>	non non on en a rien a foutre
mai 08 16:34:30 <Madvax>	si c'est une mise à jour sur la Debian c'est on-topic
mai 08 16:34:51 <Madvax>	par contre forcément, si c'est une mise à jour sur la merdriva....
mai 08 16:34:57 <ptitlouis>	mais meme
