**** DÉBUT DU JOURNAL À Thu Aug  9 21:14:34 2012

août 09 21:14:34 *	Vous parlez maintenant sur #mediawiki
août 09 21:14:35 *	Le sujet de #mediawiki est : MediaWiki software support and dev: https://www.mediawiki.org/ | Bugs: https://bugs.mediawiki.org | Read the FAQ http://bit.ly/yr0aC | Releases: 1.19.1 /1.18.4, 1.17.5 (legacy releases) | Don't flood, use http://dpaste.com/ | Channel logged: http://bit.ly/Ks9kYa | WMF-specific dev: #wikimedia-dev | mediawiki.org/wiki/Git/Tutorial
août 09 21:14:35 *	Sujet de #mediawiki défini par sumanah!~sumanah@mediawiki/sumanah le Fri Jul 20 20:38:40 2012
août 09 21:15:03 <wikibugs>	(mod) The countries drop-down in Special:BannerAllocation is not ordered in the user's language - https://bugzilla.wikimedia.org/36798  +comment (Amir E. Aharoni)
août 09 21:15:55 *	rmoen est parti (Quit: Leaving.)
août 09 21:16:49 *	James_F|Busy s'appelle maintenant James_F|Away
août 09 21:17:14 *	tewwy (~tychay@216.38.130.167) a rejoint #mediawiki
août 09 21:17:14 *	tewwy est parti (Changing host)
août 09 21:17:14 *	tewwy (~tychay@wikimedia/Tychay) a rejoint #mediawiki
août 09 21:17:28 <wikibugs>	(FIXED) Uninstall CustomUserSignup extension from Wikimedia wikis - https://bugzilla.wikimedia.org/37787  +comment (Steven Walling)
août 09 21:17:49 *	dtcrshr (~datacrush@unaffiliated/datacrusher) a rejoint #mediawiki
août 09 21:18:00 *	altin__ (~altin@46.19.230.21) a rejoint #mediawiki
août 09 21:18:10 *	MaxSem s'appelle maintenant Max|thinking
août 09 21:18:40 <gerrit-wm>	Change merged: IAlex; [mediawiki/core] (master) - https://gerrit.wikimedia.org/r/18253
août 09 21:18:59 <wikibugs>	(mod) The countries drop-down in Special:BannerAllocation is not ordered in the user's language - https://bugzilla.wikimedia.org/36798  +comment (Adam Wight)
août 09 21:19:00 <gerrit-wm>	New review: Jeroen De Dauw; "I would still like to see this be made non-ask specific :)" [mediawiki/extensions/SemanticMediaWiki] (querycache); V: 1 C: 2;  - https://gerrit.wikimedia.org/r/17953
août 09 21:19:02 <gerrit-wm>	Change merged: Jeroen De Dauw; [mediawiki/extensions/SemanticMediaWiki] (querycache) - https://gerrit.wikimedia.org/r/17953
août 09 21:19:47 <wikibugs>	(mod) The countries drop-down in Special:BannerAllocation is not ordered in the user's language - https://bugzilla.wikimedia.org/36798  +comment (Amir E. Aharoni)
août 09 21:20:03 *	aharoni (~aharoni@di8-36142.dialin.huji.ac.il) a rejoint #mediawiki
août 09 21:20:06 <wikibugs>	(mod) [patch] Add support for natural sort ordermethod. - https://bugzilla.wikimedia.org/39198  +comment (Bawolff)
août 09 21:21:04 <aharoni>	StevenW: Thank you for mentioning me in your essay. Few things could me more flattering :)
août 09 21:21:32 <StevenW>	It's David Gerard you should thank, he added the link to the comments
août 09 21:21:34 <StevenW>	:)
août 09 21:21:54 <StevenW>	I fully agree it's a perfect example of a takedown of that redesign thought
août 09 21:24:37 <aharoni>	Oh. I was quite amazed to read that he actually made it all the way down to the point where I mention the Hebrew Wikipedia.
août 09 21:25:13 <aharoni>	I've been mentioning stuff about the Hebrew for years on foundation-l... I wish more people from other projects would mention how they do things there.
août 09 21:25:46 <aharoni>	For example, I don't have the slightest idea about anything that goes in, say, the Danish Wikipedia.
août 09 21:25:47 <wikibugs>	(mod) Users shouldn't be given "Upload a new version of this file" when a file is protected - https://bugzilla.wikimedia.org/24491  enhancement->normal;  +easy; +comment (MZMcBride)
